"title","release","day_audience","total_audience","day23_audience","total23_audience","day23_screen","screen","Nationality","distributor","grade","genre","director","actor","date","day","weekday","dire_score","agency_score","actors_score","expect","Netizen_score","ranks_sum","SF","family","horror","documentary","drama","romance","musical","mystery","crime","historyy","western","adult","thrill","animation","action","adventure","war","comedy","fantasy","X18","all","X15","USA","KOR","first_day_audience","holiday"
"1987","2017-12-27",23629,7175536,80291,6203214,745,1299,"한국","씨제이이앤엠(주)","15세이상관람가","드라마","장준환","김윤석,하정우,유해진,김태리,박희순,이희준,설경구,여진구,유정호,윤재국,지웅배,정재윤,이가영,이동욱,이동희,이상준,이태형,최광일,강동원,문소리,문성근,김원진,남민우,이주영,임병우,김시은,김기태","2018-02-04",40,"일요일",2,4,80,"13,877",9.25,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,367067,0
"2012","2009-11-12",9702,5354632,48705,4564168,402,687,"미국","한국소니픽쳐스릴리징브에나비스타영화㈜","12세이상관람가","SF,액션,어드벤처","롤랜드에머리히","존쿠삭,아만다피트,올리버플랫,탠디뉴튼,치웨텔에지오포","2009-12-21",40,"월요일",2,3,0,"0",7.63,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,305883,0
"007스카이폴","2012-10-26",535,2370352,27288,2260510,212,706,"미국","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","15세이상관람가","액션","샘멘데스","다니엘크레이그,하비에르바르뎀,주디덴치,랄프파인즈,나오미해리스,베레니스말로에","2012-12-04",40,"화요일",2,2,5,"0",7.86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,202290,0
"10억","2009-08-06",2,433845,78,433359,4,231,"한국","(주)싸이더스","15세이상관람가","스릴러,어드벤처","조민호","박해일,신민아,박희순,고은아,정유미,이민기,이천희,성기완,박준하,안정희,강왕수,유정아,윤성재,최서우,최무성,신동미,정석용,김준배,김학선,김중기,김상호","2009-09-14",40,"월요일",0,2,11,"0",6.28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,71589,0
"12솔져스","2018-01-31",3,222581,39,222230,2,184,"미국","(주)제이앤씨미디어그룹","15세이상관람가","액션,드라마,전쟁","니콜라이퓰시","크리스헴스워스,마이클섀넌,마이클페나,트레반트로즈","2018-03-11",40,"일요일",0,1,8,"937",8.17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,29132,1
"13구역얼티메이텀","2009-04-16",20,501288,281,497799,19,231,"프랑스","㈜케이디미디어","15세이상관람가","액션","패트릭알레산드렝","시릴라파엘리,데이빗벨","2009-05-25",40,"월요일",0,0,0,"0",7.81,1.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,27405,0
"26년","2012-11-29",471,2947250,27188,2791622,293,442,"한국","(주)인벤트스톤,영화사청어람(주)","15세이상관람가","액션,드라마","조근현","진구,한혜진,임슬옹,배수빈,이경영,장광,천우희,이현걸,전종석,정광재,지성용,김병오,김용민,이상훈,이경영,정현진,이미도,조덕제,김의성,김도윤","2013-01-07",40,"월요일",1,1,1,"0",6.37,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,139482,0
"500일의썸머","2010-01-21",124,136245,219,134252,2,181,"미국","(주)팝엔터테인먼트,이십세기폭스코리아(주)","15세이상관람가","드라마,멜로/로맨스","마크웹","조셉고든레빗,주이데샤넬,제프리아렌드,클로이모레츠","2010-03-01",40,"월요일",2,3,1,"28",8.39,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,14457,1
"50가지그림자심연","2017-02-09",3,189599,151,188907,4,419,"미국","유니버설픽쳐스인터내셔널코리아(유)","청소년관람불가","드라마,멜로/로맨스","제임스폴리","제이미도넌,다코타존슨","2017-03-20",40,"월요일",0,3,0,"3,757",7.41,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,24897,0
"50가지그림자해방","2018-02-21",146,216482,332,212441,23,162,"미국","유니버설픽쳐스인터내셔널코리아(유)","청소년관람불가","드라마,멜로/로맨스,스릴러","제임스폴리","다코타존슨,제이미도넌","2018-04-01",40,"일요일",0,3,0,"1,754",8.01,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,21350,0
