영화명,배급사,전국관객수,개봉일
탐정: 리턴즈,씨제이이앤엠(주),2672608,2018-06-13
오션스8,워너브러더스 코리아(주),1251737,2018-06-13
쥬라기 월드: 폴른 킹덤,유니버설픽쳐스인터내셔널 코리아(유),5519298,2018-06-06
독전,(주)넥스트엔터테인먼트월드(NEW),5043827,2018-05-22
데드풀 2,이십세기폭스코리아(주),3783375,2018-05-16
챔피언,워너브러더스 코리아(주),1125248,2018-05-01
어벤져스: 인피니티 워,월트디즈니컴퍼니코리아 유한책임회사,11202737,2018-04-25
램페이지,워너브러더스 코리아(주),1385515,2018-04-12
바람 바람 바람,(주)넥스트엔터테인먼트월드(NEW),1183969,2018-04-05
곤지암,(주)쇼박스,2675618,2018-03-28
레디 플레이어 원,워너브러더스 코리아(주),2253729,2018-03-28
퍼시픽 림: 업라이징,유니버설픽쳐스인터내셔널 코리아(유),1077238,2018-03-21
지금 만나러 갑니다,롯데쇼핑㈜롯데엔터테인먼트,2601572,2018-03-14
사라진 밤,씨네그루(주)키다리이엔티,1314283,2018-03-07
궁합,씨제이이앤엠(주),1340149,2018-02-28
리틀 포레스트,메가박스중앙(주)플러스엠,1504888,2018-02-28
골든슬럼버,씨제이이앤엠(주),1387562,2018-02-14
블랙 팬서,월트디즈니컴퍼니코리아 유한책임회사,5399070,2018-02-14
조선명탐정: 흡혈괴마의 비밀,(주)쇼박스,2424387,2018-02-08
그것만이 내 세상,씨제이이앤엠(주),3417677,2018-01-17
메이즈 러너: 데스 큐어,이십세기폭스코리아(주),2299751,2018-01-17
코코,월트디즈니컴퍼니코리아 유한책임회사,3510040,2018-01-11
쥬만지: 새로운 세계,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,1708692,2018-01-03
1987,씨제이이앤엠(주),7231770,2017-12-27
신과함께-죄와 벌,롯데쇼핑㈜롯데엔터테인먼트,14410931,2017-12-20
위대한 쇼맨,이십세기폭스코리아(주),1402816,2017-12-20
강철비,(주)넥스트엔터테인먼트월드(NEW),4451351,2017-12-14
기억의 밤,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니",1387599,2017-11-29
꾼,(주)쇼박스,4018341,2017-11-22
저스티스 리그,워너브러더스 코리아(주),1786386,2017-11-15
해피 데스데이,유니버설픽쳐스인터내셔널 코리아(유),1382480,2017-11-08
부라더,메가박스중앙(주)플러스엠,1468301,2017-11-02
토르: 라그나로크,월트디즈니컴퍼니코리아 유한책임회사,4857152,2017-10-25
지오스톰,워너브러더스 코리아(주),1028384,2017-10-19
남한산성,씨제이이앤엠(주),3829891,2017-10-03
범죄도시,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",6851297,2017-10-03
킹스맨: 골든 서클,이십세기폭스코리아(주),4945484,2017-09-27
아이 캔 스피크,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",3280243,2017-09-21
살인자의 기억법,(주)쇼박스,2656694,2017-09-06
킬러의 보디가드,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",1721757,2017-08-30
브이아이피,워너브러더스 코리아(주),1373316,2017-08-23
장산범,(주)넥스트엔터테인먼트월드(NEW),1305145,2017-08-17
혹성탈출: 종의 전쟁,이십세기폭스코리아(주),2050909,2017-08-15
애나벨 : 인형의 주인,워너브러더스 코리아(주),1934192,2017-08-10
청년경찰,롯데쇼핑㈜롯데엔터테인먼트,5636259,2017-08-09
택시운전사,(주)쇼박스,12099971,2017-08-02
군함도,씨제이이앤엠(주),6592151,2017-07-26
슈퍼배드 3,유니버설픽쳐스인터내셔널 코리아(유),3324861,2017-07-26
덩케르크,워너브러더스 코리아(주),2792705,2017-07-20
스파이더맨: 홈 커밍,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,7257973,2017-07-05
박열,메가박스중앙(주)플러스엠,2359174,2017-06-28
트랜스포머: 최후의 기사,롯데쇼핑㈜롯데엔터테인먼트,2614601,2017-06-21
하루,CGV아트하우스,1129018,2017-06-15
악녀,(주)넥스트엔터테인먼트월드(NEW),1206917,2017-06-08
미이라,유니버설픽쳐스인터내셔널 코리아(유),3689325,2017-06-06
원더 우먼,워너브러더스 코리아(주),2165401,2017-05-31
노무현입니다,"CGV아트하우스,영화사 풀",1854867,2017-05-25
캐리비안의 해적: 죽은 자는 말이 없다,월트디즈니컴퍼니코리아 유한책임회사,3049894,2017-05-24
겟 아웃,유니버설픽쳐스인터내셔널 코리아(유),2138146,2017-05-17
에이리언: 커버넌트,이십세기폭스코리아(주),1307226,2017-05-09
보안관,롯데쇼핑㈜롯데엔터테인먼트,2571491,2017-05-03
보스 베이비,씨제이이앤엠(주),2450023,2017-05-03
가디언즈 오브 갤럭시 VOL. 2,월트디즈니컴퍼니코리아 유한책임회사,2735719,2017-05-03
특별시민,(주)쇼박스,1362634,2017-04-26
임금님의 사건수첩,씨제이이앤엠(주),1634403,2017-04-26
분노의 질주: 더 익스트림,유니버설픽쳐스인터내셔널 코리아(유),3653238,2017-04-12
