"title","release","day_audience","total_audience","release_audience","screen","Nationality","distributor","grade","genre","director","actor","date","day","weekday","holiday","agency_score","dire_score","expect","Netizen_score","actors_score","SF","family","horror","documentary","drama","romance","musical","mystery","crime","historyy","western","adult","thrill","animation","action","adventure","war","comedy","fantasy","X18","all","X15","USA","KOR","first_day_audience","holiday"
"007스카이폴","2012-10-26",27705,2147618,201303,706,"미국","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","15세이상관람가","액션","샘멘데스","다니엘크레이그,하비에르바르뎀,주디덴치,랄프파인즈,나오미해리스,베레니스말로에","2012-11-12",18,"월요일",0,2,2,"0",7.86,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,202290,0
"007스펙터","2015-11-11",16250,1763181,186718,991,"영국","유니버설픽쳐스인터내셔널코리아(유)","15세이상관람가","액션,어드벤처,범죄,스릴러","샘멘데스","다니엘크레이그,레아세이두,크리스토프왈츠,모니카벨루치","2015-11-28",18,"토요일",0,3,2,"6,919",7.03,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,188319,0
"10억","2009-08-06",1193,431914,49701,231,"한국","(주)싸이더스","15세이상관람가","스릴러,어드벤처","조민호","박해일,신민아,박희순,고은아,정유미,이민기,이천희,성기완,박준하,안정희,강왕수,유정아,윤성재,최서우,최무성,신동미,정석용,김준배,김학선,김중기,김상호","2009-08-23",18,"일요일",0,2,0,"0",6.28,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,71589,0
"127시간","2011-02-17",38,180545,19091,223,"미국","이십세기폭스코리아(주)","15세이상관람가","드라마,스릴러","대니보일","제임스프랭코,제임스프랑코","2011-03-06",18,"일요일",0,3,1,"0",8.19,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,39134,0
"12솔져스","2018-01-31",1016,219716,25712,184,"미국","(주)제이앤씨미디어그룹","15세이상관람가","액션,드라마,전쟁","니콜라이퓰시","크리스헴스워스,마이클섀넌,마이클페나,트레반트로즈","2018-02-17",18,"토요일",1,1,0,"937",8.17,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,29132,1
"13구역얼티메이텀","2009-04-16",3924,489043,26974,231,"프랑스","㈜케이디미디어","15세이상관람가","액션","패트릭알레산드렝","시릴라파엘리,데이빗벨","2009-05-03",18,"일요일",0,0,0,"0",7.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,27405,0
"13시간","2016-03-03",641,144992,11943,364,"미국","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","액션,드라마,스릴러","마이클베이","존크랜신스키,파블로쉬레이버,토비스티븐스","2016-03-20",18,"일요일",0,4,3,"770",8.01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,13068,0
"13일의금요일","2009-03-12",777,207251,11559,127,"미국","씨제이엔터테인먼트","청소년관람불가","공포(호러)","마커스니스펠","제러드파달렉키,다니엘파나베이커,아만다라이거티","2009-03-29",18,"일요일",0,4,0,"0",6.28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11846,0
"1987","2017-12-27",434063,5376077,331736,1299,"한국","씨제이이앤엠(주)","15세이상관람가","드라마","장준환","김윤석,하정우,유해진,김태리,박희순,이희준,강동원,설경구,여진구,유정호,윤재국,지웅배,정재윤,이가영,이동욱,이동희,이상준,이태형,최광일,강동원,문소리,문소리,문성근,김원진,남민우,이주영,임병우,김시은,김기태","2018-01-13",18,"토요일",0,4,2,"13,877",9.25,93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,367067,0
"19곰테드","2012-09-27",3914,256849,16024,229,"미국","유니버설픽쳐스인터내셔널코리아(유)","청소년관람불가","코미디,판타지","세스맥팔레인","마크월버그,밀라쿠니스,세스맥팔레인","2012-10-14",18,"일요일",1,3,0,"2,859",7.63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,16824,1
"19곰테드2","2015-06-25",406,168939,18211,281,"미국","유니버설픽쳐스인터내셔널코리아(유)","청소년관람불가","코미디","세스맥팔레인","마크월버그,세스맥팔레인,아만다사이프리드,모건프리먼,리암니슨","2015-07-12",18,"일요일",0,3,0,"2,859",7.36,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,18346,0
"1급기밀","2018-01-24",255,217678,24259,440,"한국","(주)리틀빅픽쳐스","12세이상관람가","드라마","홍기선","김상경,김옥빈,최무성,최귀화,김병철,최고,이지원","2018-02-10",18,"토요일",0,1,0,"1,549",8.84,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33298,0
"2012","2009-11-12",245879,4305980,304862,687,"미국","한국소니픽쳐스릴리징브에나비스타영화㈜","12세이상관람가","SF,액션,어드벤처","롤랜드에머리히","존쿠삭,아만다피트,올리버플랫,탠디뉴튼,치웨텔에지오포","2009-11-29",18,"일요일",0,3,2,"0",7.63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,305883,0
"22블렛","2010-10-14",311,128266,12589,227,"프랑스","㈜케이디미디어","청소년관람불가","액션,범죄","리샤르베리","장르노,카드메라드","2010-10-31",18,"일요일",0,0,0,"0",7.02,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,19112,0
